,1st Fold,2nd Fold,3rd Fold,4th Fold,5th Fold,mean
0.0005,0.9424585700035095,0.9476896524429321,0.952006995677948,0.9371727705001831,0.9397905468940735,0.9438237071037292
0.001,0.936355710029602,0.9424585700035095,0.9493891596794128,0.9397905468940735,0.9371727705001831,0.9410333514213562
0.005,0.9224062561988831,0.9337401986122131,0.9249563813209534,0.926701545715332,0.9328097701072693,0.9281228303909301
0.0001,0.9119442105293274,0.9215344190597534,0.9197207689285278,0.915357768535614,0.9136125445365906,0.9164339423179626
0.01,0.8910200595855713,0.9110723733901978,0.9144851565361023,0.8909249305725098,0.8987783789634705,0.9012561798095703
0.05,0.8718395829200745,0.8439407348632812,0.8795811533927917,0.849040150642395,0.8734729290008545,0.8635749101638794
0.1,0.8212729096412659,0.8674803972244263,0.8656195402145386,0.8621291518211365,0.8507853150367737,0.8534574627876281
